crop_type,season,nitrogen,phosphorus,potassium,ph_level,temperature,humidity,rainfall,soil_moisture,water_required_liters_per_day_per_acre
rice,kharif,30,25,35,6.5,28,75,150,45,8500
rice,kharif,25,20,30,6.2,30,80,120,50,9000
rice,kharif,35,28,40,6.8,26,70,180,40,8000
wheat,rabi,40,35,45,7.0,22,65,50,60,4500
wheat,rabi,45,38,48,7.2,20,60,40,65,4000
wheat,rabi,38,32,42,6.9,24,68,60,55,5000
maize,kharif,35,30,40,6.7,26,72,100,50,6000
maize,kharif,32,28,38,6.5,28,75,90,48,6200
maize,kharif,38,32,42,6.8,25,70,110,52,5800
cotton,kharif,42,35,50,7.1,30,65,80,55,5500
cotton,kharif,45,38,52,7.3,32,60,70,50,5000
cotton,kharif,40,33,48,7.0,28,68,90,53,5700
sugarcane,zaid,50,45,55,7.5,32,70,200,60,12000
sugarcane,zaid,55,48,58,7.6,34,65,180,58,11500
sugarcane,zaid,48,42,52,7.4,30,72,220,62,12500
vegetables,rabi,30,25,35,6.6,24,75,40,70,3500
vegetables,rabi,28,22,32,6.4,26,78,30,68,3800
vegetables,rabi,32,28,38,6.7,22,72,50,72,3300
fruits,kharif,25,20,30,6.3,28,80,100,65,3000
fruits,kharif,22,18,28,6.1,30,82,80,63,3200
fruits,kharif,28,23,33,6.4,26,78,120,67,2800
rice,rabi,32,27,37,6.6,20,65,30,55,5000
wheat,kharif,36,31,41,6.9,26,75,100,52,5500
maize,rabi,34,29,39,6.7,22,68,20,58,4800
cotton,rabi,38,32,45,7.0,25,70,25,60,5200
rice,kharif,28,23,33,6.3,29,78,140,47,8700
wheat,rabi,42,36,46,7.1,18,62,35,62,4200
maize,kharif,30,26,36,6.5,27,73,95,49,6100
cotton,kharif,44,37,51,7.2,31,63,75,52,5300
sugarcane,kharif,52,46,56,7.5,33,68,190,61,11800
vegetables,zaid,26,21,31,6.4,28,76,35,66,3600
fruits,rabi,24,19,29,6.2,24,75,45,64,3100
rice,kharif,33,28,38,6.7,27,73,130,46,8200
wheat,rabi,39,34,44,7.0,21,64,45,59,4700
maize,kharif,36,31,41,6.8,24,71,105,51,5900
cotton,kharif,41,34,49,7.1,29,66,85,54,5600
sugarcane,zaid,53,47,57,7.6,32,69,205,59,11900
vegetables,rabi,31,26,36,6.6,23,74,42,69,3400
fruits,kharif,27,22,32,6.4,29,79,110,66,2900
rice,kharif,31,26,36,6.4,28,76,125,48,8400
wheat,rabi,37,32,42,6.8,19,66,38,61,4600
maize,kharif,34,29,39,6.6,25,72,98,50,6000
cotton,kharif,43,36,50,7.2,30,64,78,53,5400
sugarcane,zaid,51,45,55,7.4,31,71,195,60,12100
vegetables,rabi,29,24,34,6.5,25,77,38,71,3700
fruits,kharif,26,21,31,6.3,27,81,95,65,3150